category,question,answer,url
Where is my money?,How can I check the status of my transfer?,"For every transfer you set up, we try to give you as much information as possible in our money tracker. It’s so you can see where your money is at every step. To check the money tracker:Log in to your Wise accountClick Details on the transfer you’d like to trackToday, we deliver over 80% of transfers within 2 hours of the estimated time you see on the money tracker. But sometimes, it can take a little longer. Here are some of the most common reasons why your transfer might be delayed, and what you can do about them.We might need to verify youDepending on how much you send and what currency you send to, we may need to do some extra verification. If we do, we’ll send you an email letting you know what information we need. So, keep an eye on your emails whenever you set up a transfer.The recipient’s bank might be processing the transferWhen the money tracker says Transfer Sent, it means Wise has sent out your money. But, it can still take a few working days for it to reach the recipient’s bank, and for them to process it. The extra time it takes also depends on the currency you’re sending to. Check your currency for how long it can take for the money to arrive to your recipient. There’s a mistake in the recipient’s detailsSometimes, transfers get delayed because there’s a mistake in the recipient’s details. When this happens, some banks can still process the transfer, but it takes a little longer for them to match it to the right account. Other times, they’ll send the money back to us and we’ll ask you to send it again.If your transfer is taking longer than you expect, double check the recipient’s details. Here’s what to do if you made a mistake.It's a weekend or holidayIf you're sending money over the weekend or before a holiday, it may only get processed the next working day. This is because we work with banks, and can only send money when they're open. You can check the status of your transfer in the app.What do I do now?If we have paid out your money, but it hasn’t settled in your recipient’s account yet, you can speed up the process by sending a transfer receipt to the recipient’s bank.Go to Home to see your activity listClick on Details on the relevant transferClick Get PDF receiptSend the PDF to your recipient’s bank",https://wise.com/help/articles/2452305/how-can-i-check-the-status-of-my-transfer
Where is my money?,When will my money arrive?,"When you make a transfer, we’ll give you an estimate for when your money should arrive. But, there are a few situations where you might have questions about timing. Here are some tips to help you understand when it’ll arrive, or why it’s delayed.Wise says that my transfer’s due to arrive today. Great! Really that means your money should’ve arrived already. We say that it’s due today because some banks need a few hours to process transfers from us. My recipient’s details may be wrong. Small things like typos in names — for instance, spelling John Smith as Jon Smith — shouldn’t be a problem for most countries. Your money should still arrive on time. However, for some currencies, such as JPY, a typo like this can be an issue. If something like an account number is wrong, your money could take longer to arrive, or get returned to us. If your money does get returned to us, we’ll let you know straight away. Transfers on weekends and holidays.Not all countries have banking systems that work on weekends or holidays. Our delivery times factor in banking hours of the country you’re sending money to.But in some parts of the world, banks stop processing transfers early on Fridays.That means, if your money’s due to arrive on Friday, it may not show in your recipient’s account until the next working day. We’re working to find out which banks do this, and make our delivery estimates more accurate in the process.My recipient says the money hasn’t arrived yet.We hope to never put you in this position. If your recipient says they haven’t received your money yet, please ask them to check the following:The sender name they’re looking for. Your recipient can try looking for a transaction on their bank statement from Wise — they might not see your name. The transfer might also come from one of our partners, but the amount and reference should still help find the payout.The recipient’s bank details. If they’re not right, your money could take longer to arrive, or get returned to us. The currency the recipient’s account is in. Your recipient’s account may be in a currency that’s different to the one you’ve sent them. If that’s the case, they could get a different amount from us because their bank might have converted the money.Getting a receipt.Your recipient’s bank may be having problems processing your transfer. They’ll have the money in their system, but won’t have put it into your recipient’s account. Our receipt includes all our bank details and, for some currencies, tracking numbers too. That means when your recipient gives it to their bank, the bank should have all the info they need to track down your transfer. Here’s how to get your receipt:Log into your Wise accountClick on your transfer Click on the 3 dots on your browser to see a Get PDF receipt button, or click the button directly in the appSave it to your device and send it to your recipientInterest, Stocks or YieldIf you sent money using Wise Interest or Stocks there are thresholds for how much you can send each day without an added delay. Check the relevant page below based on your account type and where you or your business are for more information. For personal customers in the EEATransferring from Interest balances or Jars (EEA)Transferring from Stocks balances or Jars (EEA)For business customers in the EEA Transferring from Interest balances or Jars (EEA Businesses)Transferring from Stocks balances or Jars (EEA Business Customers)For personal customers in the UKTransferring from Interest balances or Jars (UK)Transferring from Stocks balances or Jars (UK)For business customers in the UKTransferring from Interest balances or Jars (UK Business Customers)Transferring from Stocks balances or Jars (UK Business Customers)For personal customers in SingaporeTransferring from Interest balances or Jars (SG)Transferring from Stocks balances or Jars (Singapore)For business customers in SingaporeTransferring from Interest balances or Jars (Singapore Business Customers)Transferring from Stocks balances or Jars (Singapore Business Customers)For personal customers in Australia Transferring from Yield balances or Jars (AU)",https://wise.com/help/articles/2941900/when-will-my-money-arrive
Where is my money?,Why does it say my transfer's complete when the money hasn't arrived yet?,"We mark your transfer Complete when we’ve sent the money to the recipient bank. And we leave a little room in our arrival estimate for the bank to process and release it.If your recipient says they haven’t yet received the money, there are two possible reasons why.1. The receiving bank is still processing the moneyBut some banks are slower than others — they might take up to 1 working day for them to release the money. So your money’s safely on its way, but the recipient bank is still processing it. Your recipient can ask their bank to speed this up. They’ll need a transfer receipt that has all the details.Learn how to download a transfer receipt2. The money has arrived, but it looks a bit differentYour recipient might not recognise the transfer when it arrives in their account. Using the transfer receipt, we recommend they check:The sender name and reference. Your recipient should look for a transaction on their bank statement from Wise — they won’t see your name. The transfer might also come from one of our banking partners. In this case, they can identify it from the reference number.The currency and amount. Your recipient’s account might be in a different currency than the one you’ve sent them. In this case, their bank will convert the money again, and the amount might be different than expected.",https://wise.com/help/articles/2977950/why-does-it-say-my-transfers-complete-when-the-money-hasnt-arrived-yet
Where is my money?,Why do some transfers take longer?,"We try to send your transfer out as soon as possible, but sometimes, it might take longer. Here are some things that can affect how long your transfer takes, and what to do.We’ll always tell you upfront when your money should arrive, and send you updates via email once the transfer is on its way. Note that any transfer with conversion can take 2 working days to process. Track your transfer to see the latest status.Payment methodHow you paid for your transfer can affect how long it takes to send, because some options are faster than others. We’ll always show you how long each payment method takes when you’re setting up your transfer. Conversion between currencies can always take up to 2 working days. Paying by cardIf you paid by card, we can start your transfer straight away, because card payments are usually instant. They might sometimes be pending, so you can check your transfer status by logging into Wise. Paying by bankBanks can take longer depending on your currency. For example, it might take 2 working days to process your transfer, and longer if it falls on a holiday.Paying by SwiftIf you make a Swift transfer, which is a global payment that uses multiple banks, we’ll need to wait until we get your money. This could take 2–5 working days, and we can’t control the speed as other banks are involved.Payment methods are also different for different currencies. Some currencies are faster than others, so read our Help Centre articles on your currency to find out how long yours can take.Learn more about Swift transfersWeekends and holidaysOnce we’ve received your money, we convert it to the new currency and send it out. But banking hours, weekends, and public holidays are out of our control — so this might slow down the process.If you're sending money over the weekend or before a holiday, it may only get processed the next working day. This is because we work with banks, and can only send money when they're open. You can check the status of your transfer in the app.So if your transfer is urgent, plan around weekends and public holidays.Mistake in your recipient detailsWe all make mistakes, and sometimes we might input one wrong digit or misspell a name. If this happens, the recipient's bank will likely reject the payment and it will be sent back to your account details by that bank. This can take up to a few days depending on the currency, payment method, and whether it's outside of the bank's working hours.Security checks From time to time, we need to run security checks on all of our customers and their payments. This is because we're a regulated financial institution, and are required to review transfers by law. We might need to verify things like your ID, address, or where you got the money from, when you make a transfer. These additional checks can add extra time to your transfer. You can't speed this up, and we'll get in touch if we need anything from you, but you can always check the status of your transfer from the web or app.Banks processing paymentsAfter we send your money out to your recipient’s bank, the bank will then process and clear the money. But some banks are faster than others — it might take up to 2 working days for some currencies. At this point, the money’s out of our system, so we can’t control how they manage the payment, but the bank should be able to help.Your recipient can ask the receiving bank to clear the money faster. Just share the transfer receipt with your recipient that they can show their bank to get information. We can’t share any details about the sent payment with your recipient directly. We’re trying to identify the banks that are slower, so we can give you a more accurate estimate. If you’d like to help, you can let us know when the money arrived.",https://wise.com/help/articles/2977951/why-do-some-transfers-take-longer
Where is my money?,What is a proof of payment?,"A proof of payment can be a receipt (either a scan, a photo or a PDF) or a screenshot from your online bank, clearly showing the following:your details — we need to see your name and account number, and your bank’s nameour details, or our partner bank’s details — TransferWise Ltd and our account numberdate — when the transfer was initiatedamount — the amount that you sent to uscurrency — the currency in which your money was sent to usreference — the reference you added to your transferWe don’t always need proof when you make a transfer. If we do, we’ll ask you to upload it.If you aren’t able to fit all of this information into one image, you can take 2 screenshots. They both need to show your bank account number to confirm the information is for the same account.Proof of payment in Australia and New ZealandIf your bank is in Australia or New Zealand, we need more than just a screenshot of your online banking. We’ll also need a recent bank statement showing your name, date of issue, and bank details. You can also just send us the bank statement, and not the online banking screenshot, if it shows all the details listed above.",https://wise.com/help/articles/2932689/what-is-a-proof-of-payment
Where is my money?,What's a banking partner reference number?,"For every transfer you send with Wise, we give you a transfer number, which you can use if you need to get in touch with us.For some transfers, we’ll also give you a banking partner reference number. It’s called this because we send out your money through local banking partners in each country.How do I use the banking partner reference number?Give the banking partner reference number to your recipient. They can use the banking partner reference number to see where the transfer is once it’s shown as completed on your Wise account.The recipient will need to give this number to the recipient’s bank if they get in touch with them.In different countries, banks might call it something else. For example, in India, banks sometimes call it a UTR (Unique Transaction Reference) number, or a transaction reference number.",https://wise.com/help/articles/2977938/whats-a-banking-partner-reference-number
Mistakes and editing your transfer,I entered the wrong reference,"If you’re making a transfer to a personal bank account, entering the wrong reference isn’t usually a problem. In most cases, it won’t stop your money being delivered.But wrong references can cause problems if you’re paying a company or business. Or it’s important that your money arrives with an accurate reference. In these cases, the fastest way to fix the problem is to cancel the transfer yourself, and set it up again using the correct reference.Tip: If you’re paying a bill, a business, or you’ve been asked for a specific reference, please contact whoever you’re paying. They should be able to tell you if an incorrect reference is a problem. If it is, try cancelling your transfer.If you do need to cancel your transferWhether or not you can do this depends on how far along your transfer is in our system. So before you get started, check the status of your transfer.Log in to your Wise accountGo to Home to see your activity listFind the transfer in question — it should be marked as pendingYou can cancel your transfer if your transfer’s set up, your money’s on its way to us, or your money’s being processed.You should still be able to cancel your transfer at these stages. We’ll send the money back to your bank account, and you can set up another transfer using the correct bank details.Learn how to cancel your transferContact your recipient if you don’t see the cancel button, or your transfer’s complete.Our conversion process is fast — and sometimes it’s too late to cancel. Once it’s marked as complete, the money is out of Wise’s system and into the banking system. So if you don’t see the option to cancel:Get in touch with the person or business you’re payingTell them about the wrong referenceAsk them to contact their bank and find out whether the money can still be delivered, or whether their bank will send it back to Wise.Tip: If the bank sends your money back to us, we’ll get in touch with you via email. You can then choose to set up your transfer with the correct reference, or cancel your transfer and get a refund.Learn how long a refund takes",https://wise.com/help/articles/2978023/i-entered-the-wrong-reference
Mistakes and editing your transfer,Why was I charged extra?,"It’s never nice to get charged more than you were expecting. There are three main reasons this could happen when you use a card to pay for a transfer. The bank that issued your card has charged an extra fee — often called a ‘cash advance’Some banks charge an extra fee when you use your card for a transfer. It works like this:When you pay for your transfer, Wise assigns a number called a Merchant Category Code (MCC) to your payment. MCCs help financial institutions categorise the kind of payment they’re processing. Wise passes this MCC on to your bank — it’s always 4829 or 6012, which indicates that your payment is a ‘wire’ or ‘money order’.Once the MCC we’ve assigned reaches your bank, they can choose how to charge for it. Some banks charge a fee for certain MCCs.For instance, banks sometimes charge your transfer as a ‘cash advance’ or ‘cash withdrawal’. And this could come with an extra charge. Wise doesn’t support this practice. But unfortunately, we have no control over it. It’s totally at the discretion of the bank that issued your card.Tip: Call your bank and check how they charge for the MCC assigned to your payment. If they’ve charged it as a cash advance or cash withdrawal, ask them why — and explain that the payment was not cash-related. They may be able to help.The card was in a different currency than the currency you sent fromHere’s an example: imagine you’ve sent GBP to USD. But the card you used was linked to a bank account that holds EUR.Because the currency you paid with (EUR) was different to the currency you sent from (GBP), your bank converts your money when you pay, and uses its own exchange rate. This is not the Wise rate, and we have no control over it. It’s likely to add an extra cost on top of your Wise fee. Tip: Always pay with a card that uses the same currency as the currency you’re sending from. You’ve used a more expensive card — like a credit or corporate cardHere’s an example: imagine you set up your transfer on Wise. You choose to pay with your debit card, and we show you the fee upfront. But when you actually pay, you enter the details of your credit card.Your transfer will still go through. But because you paid with a different type of card, you might be charged differently. That’s because in some countries, different cards have different fees on Wise. Generally, credit cards and corporate cards might be more expensive. If this happens, we’ll send you a notification telling you how you’ve been charged. Tip: We’ll always show you our fees clearly and transparently — and it may be cheaper to use a consumer debit card.",https://wise.com/help/articles/2977994/why-was-i-charged-extra
Mistakes and editing your transfer,I sent the wrong amount,"It can be unsettling to send the wrong amount of money. But fortunately, it’s straightforward to fix.If you sent too much money, we’ll send the excess back to you.If you set up your transfer on Wise — and accidentally paid too much money — you don’t need to do anything.Our system knows when you’ve paid too much. So we’ll send the amount you wanted to send to your recipient. Then, we’ll refund the excess back to the bank account you paid from.Tip: You don’t need to contact us to get a refund. In rare cases where we need more information, we’ll get in touch by email.Learn how long a refund takesIf you haven’t sent enough money, you can either pay the outstanding amount. Or we’ll email you to get it fixed.We’ll only complete your transfer once you’ve paid the full amount. So if you didn’t pay enough money, we’ll pause your transfer.You can either:Log back in to Wise, find the transfer in question in Activity, and pay the outstanding amount. This is a good option if you need your transfer to continue straight away.Or, wait for us to email you. The email will ask whether you’d like to complete the transfer with the amount you’ve already sent. Or whether you’d like to pay the outstanding amount. Either way, you’ll be guided through the next steps.For smaller amounts in certain currencies, the transfer amount will adjust to the smaller amount you've sent. But for most cases, please follow the steps above.",https://wise.com/help/articles/2978031/i-sent-the-wrong-amount
Mistakes and editing your transfer,I forgot the reference,"If you didn’t include your unique reference number (beginning with P) with your bank transfer to us, don't worry — we may still be able to link your payment without it. We'll send you an email, so check your inbox for information. If we can't link it, we'll send it back to the originating account.If you think this may not have been correctly forwarded by the bank, or you sent the right details but the payment still wasn't linked, you’ll need to upload a proof of payment document — we’ll use it to find and identify your money.Once you’ve uploaded your proof of payment document, we’ll be in touch with you to help.",https://wise.com/help/articles/2932690/i-forgot-the-reference
Cancellations and refunds,I want to cancel a transfer that's completed,"You can’t cancel a transfer that's been sent out or completed. All transfers completed by Wise are final, and Wise can’t reverse or recall payments. Once your transfer is marked as completed on our website, we can’t cancel it.Disputes Wise does not have the ability to be involved in disputes between senders and recipients, so we strongly recommend that you know and trust the person or business that you are sending to before setting up a transfer or sending any money. While we can’t get involved in disputes, we try to do everything we can to keep our customers safe. We’ll investigate any claims of fraud, and, if we find that someone has used Wise to receive money fraudulently, we’ll block them from receiving money through us.Learn more if you think you may be a victim of fraud or a scamIf the recipient details are wrongOnce Wise sends out the money, unfortunately there’s nothing we can do to refund it. If the recipient’s details are wrong, their bank will usually reject it and send the money back to us. We’ll get in touch with you if this happens to ask whether you’d like to update the details and send it again, or cancel the transfer and get a refund. If you’ve made a mistake in the amount you sent, or you don’t want to send the transfer anymore — your recipient will need to contact their bank and ask them to reject the payment. This means the money will be sent back to Wise, and we’ll refund it back to you.We recommend you get in touch with the recipient and ask them to return the money to you, or, if the payment was to yourself, transfer it back. Learn more about if you sent to the wrong person or if you spelt the recipient's name wrong",https://wise.com/help/articles/2565014/i-want-to-cancel-a-transfer-thats-completed
Cancellations and refunds,I want to cancel a transfer I haven't paid for,"Depending on what step your transfer is at, you may be able to cancel it. First, check the status of your transfer by going to your account. If you still need to do something with your payment, you'll see it as a Task on your home page. Otherwise, it'll appear in your Transactions.Then, match the status to the corresponding step below to see what you can do.Payment statuses You've set up your transfer but haven't paidYou can cancel the transfer yourself at this step. Here's how to cancel your transfer: While logged in, go to Home. Select the transfer you want to cancel and choose Cancel transfer. If you’ve already selected I've now paid, you might need to re-enter your bank account details. Find out why you need to enter your bank account details. Once this is done, you'll get an email from us confirming that your transfer has been successfully cancelled. Your money’s on its way to usYou can still cancel your transfer yourself at this step. Just follow the directions above to do so. You may also see a different message for the this step, like “Your money may still be in your bank account”, or “Sorry, we didn’t get the money yet”.This is fine, you’ll still be able to see the Cancel transfer button underneath the transfer. If you cancel at this point, it can still take a few business days for the money to be refunded into your account, as it has to arrive at Wise before we can refund it.For more information on how long refunds take, please see the relevant page for the currency that you have sent.Your money’s being processedYou may be able to cancel the transfer yourself. At this point your money is with us for conversion but if you can still see the Cancel transfer button, you can use it and cancel the transfer. But, if you can’t see it, you’ll need to get in touch so we can cancel it. Our conversion process can be fast, so make sure to reach out as soon as possible. If we haven’t sent out the money yet, we can refund it back to you. You won’t need to give us your bank account details if you paid for your transfer by credit or debit card. In this case, we’ll automatically refund the transfer to the card you paid with, and won’t ask for more information. Your transfer has been sent out or completed You won't be able to cancel your transfer if been sent out or completed. If you're sending money over the weekend or before a holiday, it may only get processed the next working day. This is because we work with banks, and can only send money when they're open. You can check the status of your transfer in the app. Learn more about cancelling completed transfers",https://wise.com/help/articles/2971625/i-want-to-cancel-a-transfer-i-havent-paid-for
Mistakes and editing your transfer,I sent money to the wrong person,"Everyone makes mistakes. And there are 2 ways to fix this one:depending on where the money is, you can cancel the transfer yourself and start againif the money has reached your recipient, you’ll need to contact them and ask for the money backSo before you get started, check the status of your transfer.Log in to your Wise accountGo to Home to see your activity listFind the transfer in question — it should be marked as pendingIf your transfer hasn't been sent out yetYou can cancel your transfer if you can see the cancel button on the transfer. We’ll send the money back to your bank account, and you can set up another transfer to the right person.Learn how to cancel your transferIf your transfer has been completed or there is no cancel button Our conversion process is fast — and sometimes it’s too late to cancel. Once it’s marked as complete, the money is out of Wise’s system and into the banking system. Some banks may reject the transfer back automatically if the name doesn't match with the account number, but this varies depending on the currency and bank that you sent to. So if you don’t see the option to cancel:Get in touch with the recipient or recipient bank Tell them about the mistakeAsk them to send the money back to you/Wise — you can then set up a new transfer if you need toTip: If you can’t cancel your transfer on Wise, it’s out of our system — so we can’t cancel it either. Please get in touch with your recipient directly.Learn more about cancelling completed transfers",https://wise.com/help/articles/2978032/i-sent-money-to-the-wrong-person
